Theme,Correlation,p_value
Digital Literacy as Driver,0.14032409875664031,0.5333809903465622
ICT Tools as Driver,0.5244551033196745,0.012219994846163118
Digital Divide as Barrier,-0.022528160635112583,0.9207328154627926
Lack of ICTs as Barrier,0.32515737062360656,0.1397914674539091
